,,,,,,,,,,
FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2020,Pop. 2021,Change 2020-21,,
27157,Wabasha,3,"19,744","21,610","21,676","21,387","21,509",0.6%,,
27159,Wadena,7,"13,154","13,730","13,843","14,065","14,177",0.8%,,
27161,Waseca,6,"18,079","19,536","19,136","18,968","19,000",0.2%,,
27163,Washington,1,"145,860","201,214","238,136","267,568","272,256",1.8%,,
27165,Watonwan,6,"11,682","11,882","11,211","11,253","11,135",-1.0%,,
27167,Wilkin,6,"7,516","7,135","6,576","6,506","6,395",-1.7%,,
27169,Winona,4,"47,828","49,996","51,461","49,671","49,630",-0.1%,,
27171,Wright,1,"68,710","90,022","124,700","141,337","144,845",2.5%,,
27173,Yellow Medicine,9,"11,684","11,235","10,438","9,528","9,411",-1.2%,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
